"elevation","lma","study","latitude","name","lat.lapse","long.lapse"
1790,15.2327565196,1,40,"Alcantara",38,-3
1405,23.8578074675,1,40,"Alcantara",38,-3
1245,28.0276913591,1,40,"Alcantara",38,-3
1401,17.9211469534,1,40,"Alcantara",38,-3
1676,65.0279620237,1,40,"Alcantara",37,-3
1685,53.5016853031,1,40,"Alcantara",37,-4
1570,53.050397878,1,40,"Alcantara",37,-3
1352,21.6389327678,1,40,"Alcantara",37,-3
1690,36.6018813367,1,40,"Alcantara",38,-3
1115,32.8418010444,1,40,"Alcantara",38,-3
1390,33.9362676893,1,40,"Alcantara",38,-3
2110,32.6349454996,1,40,"Alcantara",38,-3
1575,26.7716113833,1,40,"Alcantara",43,-1
1780,21.9717443368,1,40,"Alcantara",43,-1
1912,37.3385109402,1,40,"Alcantara",43,-1
3970,59,3,0,"Diemer.g",0,-78
4050,199,3,0,"Diemer.g",0,-78
4050,88,3,0,"Diemer.g",0,-78
4100,114,3,0,"Diemer.g",0,-79
4570,93,3,0,"Diemer.g",0,-78
4570,102,3,0,"Diemer.g",0,-78
4900,86,3,0,"Diemer.g",-1,-79
3400,59,4,0,"Diemer.f",0,-78
3400,33,4,0,"Diemer.f",0,-78
3400,40,4,0,"Diemer.f",0,-78
3410,66,4,0,"Diemer.f",0,-78
3410,60,4,0,"Diemer.f",0,-78
3410,93,4,0,"Diemer.f",0,-78
3410,52,4,0,"Diemer.f",0,-78
4050,80,4,0,"Diemer.f",0,-78
4050,109,4,0,"Diemer.f",0,-78
4050,88,4,0,"Diemer.f",0,-78
4050,84,4,0,"Diemer.f",0,-78
4050,126,4,0,"Diemer.f",0,-78
4050,163,4,0,"Diemer.f",0,-78
4050,69,4,0,"Diemer.f",0,-78
4050,67,4,0,"Diemer.f",0,-78
4050,122,4,0,"Diemer.f",0,-78
4050,182,4,0,"Diemer.f",0,-78
4400,65,4,0,"Diemer.f",0,-78
4400,97,4,0,"Diemer.f",0,-79
4450,124,4,0,"Diemer.f",0,-79
4450,129,4,0,"Diemer.f",0,-79
4450,130,4,0,"Diemer.f",0,-79
4450,67,4,0,"Diemer.f",0,-79
4450,158,4,0,"Diemer.f",0,-79
4500,277,4,0,"Diemer.f",0,-78
4510,211,4,0,"Diemer.f",0,-79
4510,171,4,0,"Diemer.f",0,-79
4510,76,4,0,"Diemer.f",0,-79
4510,87,4,0,"Diemer.f",0,-79
4510,88,4,0,"Diemer.f",0,-79
4510,109,4,0,"Diemer.f",0,-79
4510,158,4,0,"Diemer.f",0,-79
4510,75,4,0,"Diemer.f",0,-79
4570,106,4,0,"Diemer.f",0,-78
4570,100,4,0,"Diemer.f",0,-78
4570,65,4,0,"Diemer.f",0,-78
4570,270,4,0,"Diemer.f",0,-78
4570,66,4,0,"Diemer.f",0,-78
4570,171,4,0,"Diemer.f",0,-78
4600,146,4,0,"Diemer.f",-1,-79
4800,48,4,0,"Diemer.f",-1,-79
4800,74,4,0,"Diemer.f",-1,-79
4900,59,4,0,"Diemer.f",-1,-79
4900,196,4,0,"Diemer.f",-1,-79
187.2340425532,101.8181818182,5,16.8,"Kessler",-15,-66
204.2553191489,90.2272727273,5,16.8,"Kessler",-17,-67
391.4893617021,97.0454545455,5,16.8,"Kessler",-14,-68
902.1276595745,118.1818181818,5,16.8,"Kessler",-16,-67
1242.5531914894,140,5,16.8,"Kessler",-17,-66
1412.7659574468,95,5,16.8,"Kessler",-15,-69
1531.914893617,120.2272727273,5,16.8,"Kessler",-17,-67
2246.8085106383,107.9545454545,5,16.8,"Kessler",-17,-66
2263.829787234,135.2272727273,5,16.8,"Kessler",-15,-69
3114.8936170213,120.2272727273,5,16.8,"Kessler",-17,-68
3234.0425531915,150.2272727273,5,16.8,"Kessler",-17,-66
3421.2765957447,145.4545454545,5,16.8,"Kessler",-17,-67
3710.6382978723,160.4545454545,5,16.8,"Kessler",-17,-66
1630,71.8907260963,7,40.4,"Schoettle",41,-104
2450,71.3266761769,7,40.4,"Schoettle",41,-106
2609,74.8502994012,7,40.4,"Schoettle",41,-106
2646,72.3065798988,7,40.4,"Schoettle",41,-106
2652,72.5163161711,7,40.4,"Schoettle",41,-107
2963,71.7875089734,7,40.4,"Schoettle",40,-106
3048,67.8886625933,7,40.4,"Schoettle",40,-106
3072,76.2195121951,7,40.4,"Schoettle",40,-106
3084,74.6825989544,7,40.4,"Schoettle",40,-106
3133,64.8088139987,7,40.4,"Schoettle",41,-106
3170,62.893081761,7,40.4,"Schoettle",40,-106
3328,57.6701268743,7,40.4,"Schoettle",40,-106
550.9259259259,44.4827586207,9,68.4,"Sundqvist",68,19
550.9259259259,47.7777777778,9,68.4,"Sundqvist",68,19
650.462962963,42.2950819672,9,68.4,"Sundqvist",68,19
701.3888888889,23.1390134529,9,68.4,"Sundqvist",68,19
701.3888888889,46.0714285714,9,68.4,"Sundqvist",68,19
701.3888888889,49.1428571429,9,68.4,"Sundqvist",68,19
752.3148148148,54.8936170213,9,68.4,"Sundqvist",68,19
752.3148148148,57.3333333333,9,68.4,"Sundqvist",68,19
750,73.7142857143,9,68.4,"Sundqvist",68,19
750,191.1111111111,9,68.4,"Sundqvist",68,19
750,224.347826087,9,68.4,"Sundqvist",68,19
800.9259259259,78.1818181818,9,68.4,"Sundqvist",68,19
900.462962963,84.5901639344,9,68.4,"Sundqvist",68,19
949.0740740741,88.9655172414,9,68.4,"Sundqvist",68,19
1000,73.7142857143,9,68.4,"Sundqvist",68,19
1000,74.7826086957,9,68.4,"Sundqvist",68,19
1000,83.2258064516,9,68.4,"Sundqvist",68,19
1000,90.5263157895,9,68.4,"Sundqvist",68,19
1218.4300341297,68.7675388699,10,17.7,"Velazquez",18,-97
1218.4300341297,80.9897610922,10,17.7,"Velazquez",18,-97
1218.4300341297,86.5453166477,10,17.7,"Velazquez",18,-97
1218.4300341297,90.9897610922,10,17.7,"Velazquez",18,-97
1218.4300341297,99.878649981,10,17.7,"Velazquez",18,-97
1218.4300341297,112.1008722033,10,17.7,"Velazquez",18,-97
1218.4300341297,125.4342055366,10,17.7,"Velazquez",18,-97
1218.4300341297,129.878649981,10,17.7,"Velazquez",18,-97
1218.4300341297,136.5453166477,10,17.7,"Velazquez",18,-97
1218.4300341297,138.7675388699,10,17.7,"Velazquez",18,-97
1218.4300341297,85.4342055366,10,17.7,"Velazquez",18,-97
1832.7645051195,36.2040197194,10,17.7,"Velazquez",18,-97
1832.7645051195,53.9817974972,10,17.7,"Velazquez",18,-97
1832.7645051195,77.3151308305,10,17.7,"Velazquez",18,-97
1832.7645051195,90.6484641638,10,17.7,"Velazquez",18,-97
1832.7645051195,91.7595752749,10,17.7,"Velazquez",18,-97
1832.7645051195,99.5373530527,10,17.7,"Velazquez",18,-97
1832.7645051195,111.7595752749,10,17.7,"Velazquez",18,-97
1832.7645051195,116.2040197194,10,17.7,"Velazquez",18,-97
1832.7645051195,120.6484641638,10,17.7,"Velazquez",18,-97
2003.4129692833,169.4425483504,10,17.7,"Velazquez",18,-97
2003.4129692833,132.7758816837,10,17.7,"Velazquez",18,-97
2003.4129692833,123.8869927948,10,17.7,"Velazquez",18,-97
2003.4129692833,120.5536594615,10,17.7,"Velazquez",18,-97
2003.4129692833,110.5536594615,10,17.7,"Velazquez",18,-97
2003.4129692833,103.8869927948,10,17.7,"Velazquez",18,-97
2003.4129692833,92.7758816837,10,17.7,"Velazquez",18,-97
2003.4129692833,87.2203261282,10,17.7,"Velazquez",18,-97
2003.4129692833,90.5536594615,10,17.7,"Velazquez",18,-97
2003.4129692833,107.2203261282,10,17.7,"Velazquez",18,-97
2255.9726962457,69.302237391,10,17.7,"Velazquez",18,-97
2255.9726962457,87.0800151688,10,17.7,"Velazquez",18,-97
2255.9726962457,95.9689040576,10,17.7,"Velazquez",18,-97
2255.9726962457,97.0800151688,10,17.7,"Velazquez",18,-97
2255.9726962457,98.1911262799,10,17.7,"Velazquez",18,-97
2255.9726962457,102.6355707243,10,17.7,"Velazquez",18,-97
2255.9726962457,104.8577929465,10,17.7,"Velazquez",18,-97
2255.9726962457,105.9689040576,10,17.7,"Velazquez",18,-97
2255.9726962457,121.5244596132,10,17.7,"Velazquez",18,-97
2255.9726962457,134.8577929465,10,17.7,"Velazquez",18,-97
2419.795221843,183.6556693212,10,17.7,"Velazquez",18,-97
2419.795221843,168.1001137656,10,17.7,"Velazquez",18,-97
2419.795221843,123.6556693212,10,17.7,"Velazquez",18,-97
2419.795221843,121.433447099,10,17.7,"Velazquez",18,-97
2419.795221843,119.2112248768,10,17.7,"Velazquez",18,-97
2419.795221843,106.9890026545,10,17.7,"Velazquez",18,-97
2419.795221843,103.6556693212,10,17.7,"Velazquez",18,-97
2419.795221843,89.2112248768,10,17.7,"Velazquez",18,-97
2419.795221843,74.7667804323,10,17.7,"Velazquez",18,-97
2419.795221843,72.5445582101,10,17.7,"Velazquez",18,-97
2549.4880546075,60.2502844141,10,17.7,"Velazquez",18,-97
2549.4880546075,85.8058399697,10,17.7,"Velazquez",18,-97
2549.4880546075,91.3613955252,10,17.7,"Velazquez",18,-97
2549.4880546075,116.9169510808,10,17.7,"Velazquez",18,-97
2549.4880546075,125.8058399697,10,17.7,"Velazquez",18,-97
2549.4880546075,138.0280621919,10,17.7,"Velazquez",18,-97
2549.4880546075,141.3613955252,10,17.7,"Velazquez",18,-97
2549.4880546075,144.6947288586,10,17.7,"Velazquez",18,-97
2549.4880546075,155.8058399697,10,17.7,"Velazquez",18,-97
2549.4880546075,191.3613955252,10,17.7,"Velazquez",18,-97
52.2193211488,203.2258064516,11,19.5,"Vit.1",19,-156
52.2193211488,193.1899641577,11,19.5,"Vit.1",19,-156
274.1514360313,226.164874552,11,19.5,"Vit.1",19,-156
287.2062663185,184.5878136201,11,19.5,"Vit.1",19,-156
600.5221932115,197.4910394265,11,19.5,"Vit.1",19,-156
639.6866840731,256.2724014337,11,19.5,"Vit.1",19,-156
646.2140992167,240.5017921147,11,19.5,"Vit.1",19,-156
750.6527415144,239.0681003584,11,19.5,"Vit.1",19,-156
757.180156658,206.0931899642,11,19.5,"Vit.1",19,-156
900.7832898172,254.8387096774,11,19.5,"Vit.1",19,-156
907.3107049608,239.0681003584,11,19.5,"Vit.1",19,-156
1057.4412532637,243.3691756272,11,19.5,"Vit.1",19,-156
1057.4412532637,286.3799283154,11,19.5,"Vit.1",19,-156
1148.8250652742,276.3440860215,11,19.5,"Vit.1",19,-156
1214.0992167102,306.4516129032,11,19.5,"Vit.1",19,-156
1201.044386423,293.5483870968,11,19.5,"Vit.1",19,-156
1214.0992167102,282.0788530466,11,19.5,"Vit.1",19,-156
1214.0992167102,241.935483871,11,19.5,"Vit.1",19,-156
1364.2297650131,333.6917562724,11,19.5,"Vit.1",19,-156
1507.8328981723,325.0896057348,11,19.5,"Vit.1",19,-156
1664.4908616188,319.3548387097,11,19.5,"Vit.1",19,-156
1671.0182767624,282.0788530466,11,19.5,"Vit.1",19,-156
1703.6553524804,368.1003584229,11,19.5,"Vit.1",19,-156
1723.2375979112,303.5842293907,11,19.5,"Vit.1",19,-156
1723.2375979112,276.3440860215,11,19.5,"Vit.1",19,-156
1788.5117493473,279.2114695341,11,19.5,"Vit.1",19,-156
2062.6631853786,426.8817204301,11,19.5,"Vit.1",19,-156
2343.3420365535,459.8566308244,11,19.5,"Vit.1",19,-156
248.0417754569,137.2759856631,12,19.5,"Vit.2",19,-156
593.9947780679,161.6487455197,12,19.5,"Vit.2",19,-156
757.180156658,167.3835125448,12,19.5,"Vit.2",19,-156
1207.5718015666,204.6594982079,12,19.5,"Vit.2",19,-156
1220.6266318538,187.4551971326,12,19.5,"Vit.2",19,-156
1240.2088772846,197.4910394265,12,19.5,"Vit.2",19,-156
1573.1070496084,297.8494623656,12,19.5,"Vit.2",19,-156
1762.4020887729,279.2114695341,12,19.5,"Vit.2",19,-156
1755.8746736292,292.1146953405,12,19.5,"Vit.2",19,-156
1762.4020887729,360.9318996416,12,19.5,"Vit.2",19,-156
2075.7180156658,416.8458781362,12,19.5,"Vit.2",19,-156
2297.6501305483,464.1577060932,12,19.5,"Vit.2",19,-156
2454.3080939948,474.1935483871,12,19.5,"Vit.2",19,-156
509.138381201,230.4659498208,13,19.5,"Vit.3",19,-156
691.9060052219,270.6093189964,13,19.5,"Vit.3",19,-156
907.3107049608,273.476702509,13,19.5,"Vit.3",19,-156
907.3107049608,264.8745519713,13,19.5,"Vit.3",19,-156
1148.8250652742,244.8028673835,13,19.5,"Vit.3",19,-156
1142.2976501306,256.2724014337,13,19.5,"Vit.3",19,-156
