plant_number,full_name,genus,species,location,elevation,location_type,thickness,fresh_mass,dry_mass,fracture,specific_force,sla,ldmc,area_actual,area_filled,growth_form,height,stem_density
1,Henriettea_tuberculosa,Henriettea,tuberculosa,La Selva sendero experimental,30,forest,0.2671666667,0.558,0.1285,2.21666666665,2.64099905532401,209.275,23.158544415,26.96,27.981,woody,3.8,0.419125683
2,Leandra_grandifolia,Leandra,grandifolia,La Selva sendero experimental,30,forest,0.24666666665,2.979,0.5005,1.5183333333,1.95932639409906,289.175,16.82043156,144.6835,146.709,woody,1.6,0.288585209
3,Leandra_grandifolia,Leandra,grandifolia,La Selva sendero experimental,30,forest,0.3078333333,2.282,0.457,1.76666666665,1.8267919836934,274.19,19.99349633,125.099,125.131,woody,2.5,0.36196319
4,Miconia_nervosa,Miconia,nervosa,La Selva sendero experimental,30,forest,0.27616666665,2.0405,0.5585,1.195,1.37735780571848,246.13,27.3561054,137.538,138.4125,woody,3.7,0.418640577
5,Miconia_affinis,Miconia,affinis,La Selva sendero experimental,30,forest,0.14483333335,1.4205,0.4405,2.19833333335,4.83142393361667,211.665,31.00125544,93.1765,94.1,woody,4.5,0.539229025
6,Clidemia_epiphytica,Clidemia,epiphytica,La Selva sendero experimental,30,forest,0.226,1.4345,0.2515,0.805,1.13380291317678,390.63,17.654434705,99.1065,99.1815,epiphyte,5.6,0.324444444
7,Henriettea_tuberculosa,Henriettea,tuberculosa,La Selva sendero experimental,30,forest,0.2885,0.6145,0.1375,1.8083333333,1.99518328424637,210.445,22.21345113,28.7075,28.8545,woody,2.6,0.385791367
8,Adelobotrys_adscendens,Adelobotrys,adscendens,La Selva sendero experimental,30,forest,0.23516666665,2.602,0.3325,2.875,3.8914567945142,337.79,12.795419585,112.3915,112.3915,epiphyte,1.7,0.152631579
9,Clidemia_epiphytica,Clidemia,epiphytica,La Selva sendero experimental,30,forest,0.20716666665,2.156,0.363,1.045,1.60563393928635,389.625,16.897664835,142.441,152.9305,epiphyte,1.7,0.245098039
10,Miconia_ligulata,Miconia,ligulata,La Selva sendero experimental,30,forest,0.2495,3.2105,0.961,1.7483333333,2.23050815364349,152.095,29.830471745,145.7035,146.0025,woody,3.5,0.42833698
11,Miconia_affinis,Miconia,affinis,La Selva sendero experimental,30,forest,0.1975,1.671,0.534,1.62666666665,2.62169155200166,174.94,31.518738525,91.5015,97.412,woody,3.5,0.370262391
12,Clidemia_densiflora,Clidemia,densiflora,La Selva sendero experimental,30,forest,0.242,0.973,0.2665,1.0816666667,1.42274873374412,227.62,27.68944684,60.6235,62.618,woody,0.8,0.448113208
13,Miconia_ligulata,Miconia,ligulata,La Selva sendero experimental,30,forest,0.2435,2.404,0.6535,2.705,3.5360502756762,162.755,27.09726345,105.14,106.6775,woody,2.9,0.387681159
14,Miconia_multispicata,Miconia,multispicata,La Selva sendero experimental,30,forest,0.25,1.728,0.455,1.305,1.66157760587939,184.565,26.519852975,84.0435,84.3335,woody,2.9,0.41523922
15,Leandra_granatensis,Leandra,granatensis,La Selva sendero experimental,30,forest,0.2943333333,3.5495,0.577,1.09166666665,1.18059442508953,352.43,16.273603175,203.363,204.8615,woody,1.2,0.175815105
16,Miconia_multispicata,Miconia,multispicata,La Selva sendero experimental,30,forest,0.2255,2.3565,0.7425,0.90666666665,1.27982688899334,179.585,31.628472505,133.457,133.641,woody,7.1,0.310921502
17,Miconia_multispicata,Miconia,multispicata,La Selva sendero experimental,30,forest,0.22383333335,6.0045,1.9555,1.83666666665,2.61189497055276,145.3,32.564972245,284.128,290.5525,woody,5.1,0.227467811
18,Clidemia_densiflora,Clidemia,densiflora,La Selva sendero experimental,30,forest,0.28416666665,0.8485,0.2565,1.53666666665,1.7213003816744,206.095,30.06869613,52.6355,53.656,woody,1.9,0.455882353
19,Miconia_stevensiana,Miconia,stevensiana,La Selva sendero experimental,30,forest,0.25016666665,0.948,0.4265,1.72,2.1885130084181,166.685,45.360242815,69.392,70.5425,woody,14.5,0.535714286
20,Henriettea_tuberculosa,Henriettea,tuberculosa,La Selva sendero experimental,30,forest,0.31766666665,1.059,0.2245,2.4133333333,2.41821991191996,234.05,21.222552905,52.488,52.635,woody,3,0.416523236
21,Miconia_affinis,Miconia,affinis,La Selva sendero experimental,30,forest,0.2338333333,0.752,0.2325,1.67,2.27331793301229,202.405,30.97301662,46.6605,47.2045,woody,5.5,0.437724244
22,Clidemia_epiphytica,Clidemia,epiphytica,La Selva sendero experimental,30,forest,0.1865,1.8475,0.334,0.925,1.57874876525473,376.38,18.078132535,125.4745,127.964,epiphyte,6,0.28042328
23,Leandra_granatensis,Leandra,granatensis,La Selva sendero experimental,30,forest,0.3046666667,2.626,0.48,1.78166666665,1.86145113944234,363.36,18.328160585,173.949,177.583,woody,1.8,0.174507659
24,Miconia_ligulata,Miconia,ligulata,La Selva sendero experimental,30,forest,0.2631666667,2.01,0.55,2.02833333335,2.4533447209613,163.805,27.767020795,88.747,88.8895,woody,2.6,0.295983087
25,Miconia_simplex,Miconia,simplex,La Selva sendero experimental,30,forest,0.195,1.704,0.5535,1.33833333335,2.18463964622878,194.585,32.163942195,105.008,105.068,woody,4,0.408388521
