"elevation","nmass","study","latitude","name","lat.lapse","long.lapse"
498.1132075472,0.9144578313,1,46.5,"Ceriani",46,10
739.6226415094,1.143373494,1,46.5,"Ceriani",46,10
777.358490566,1.2277108434,1,46.5,"Ceriani",46,10
1094.3396226415,1.0469879518,1,46.5,"Ceriani",46,10
1177.358490566,1.4265060241,1,46.5,"Ceriani",46,10
1283.0188679245,1.2698795181,1,46.5,"Ceriani",46,10
1283.0188679245,1.1373493976,1,46.5,"Ceriani",46,10
1516.9811320755,1.6975903614,1,46.5,"Ceriani",46,10
1600,1.4927710843,1,46.5,"Ceriani",46,10
1569.8113207547,1.6674698795,1,46.5,"Ceriani",46,10
1864.1509433962,1.7759036145,1,46.5,"Ceriani",46,10
2015.0943396226,1.7939759036,1,46.5,"Ceriani",46,10
2037.7358490566,1.9144578313,1,46.5,"Ceriani",46,10
2105.6603773585,2.0469879518,1,46.5,"Ceriani",46,10
38.7096774194,1.8394160584,2,44.8,"Craine",-45,171
123.8709677419,2.7919708029,2,44.8,"Craine",-46,171
209.0322580645,1.7846715328,2,44.8,"Craine",-46,171
228.3870967742,1.8503649635,2,44.8,"Craine",-45,169
232.2580645161,1.7518248175,2,44.8,"Craine",-45,169
243.8709677419,1.6751824818,2,44.8,"Craine",-45,169
282.5806451613,1.8284671533,2,44.8,"Craine",-46,168
356.1290322581,0.9744525547,2,44.8,"Craine",-46,169
387.0967741935,2.0912408759,2,44.8,"Craine",-45,170
433.5483870968,1.4781021898,2,44.8,"Craine",-46,168
449.0322580645,1.1934306569,2,44.8,"Craine",-46,168
480,1.5437956204,2,44.8,"Craine",-45,168
522.5806451613,1.9160583942,2,44.8,"Craine",-46,170
615.4838709677,0.799270073,2,44.8,"Craine",-46,168
615.4838709677,1.5547445255,2,44.8,"Craine",-45,168
638.7096774194,1.3905109489,2,44.8,"Craine",-46,167
634.8387096774,1.1715328467,2,44.8,"Craine",-46,170
638.7096774194,1.0948905109,2,44.8,"Craine",-45,170
661.935483871,1.9379562044,2,44.8,"Craine",-45,168
665.8064516129,0.9197080292,2,44.8,"Craine",-46,170
700.6451612903,1.3248175182,2,44.8,"Craine",-45,168
727.7419354839,1.0072992701,2,44.8,"Craine",-45,168
727.7419354839,1.2810218978,2,44.8,"Craine",-45,168
747.0967741935,1.3248175182,2,44.8,"Craine",-46,167
754.8387096774,1.204379562,2,44.8,"Craine",-46,170
843.8709677419,0.9635036496,2,44.8,"Craine",-46,170
836.1290322581,0.6459854015,2,44.8,"Craine",-46,170
983.2258064516,0.8211678832,2,44.8,"Craine",-45,169
1118.7096774194,0.897810219,2,44.8,"Craine",-45,169
1184.5161290323,0.996350365,2,44.8,"Craine",-46,167
1184.5161290323,0.7554744526,2,44.8,"Craine",-46,167
1203.8709677419,0.8211678832,2,44.8,"Craine",-46,167
3970,1.55,3,0,"Diemer.g",0,-78
4050,0.67,3,0,"Diemer.g",0,-78
4050,1.65,3,0,"Diemer.g",0,-78
4100,2.17,3,0,"Diemer.g",0,-79
4570,2.16,3,0,"Diemer.g",0,-78
4570,1.24,3,0,"Diemer.g",0,-78
4900,2.63,3,0,"Diemer.g",-1,-79
3400,2.31,5,0,"Diemer.f",0,-78
3400,4,5,0,"Diemer.f",0,-78
3400,3.44,5,0,"Diemer.f",0,-78
3410,2.38,5,0,"Diemer.f",0,-78
3410,1.32,5,0,"Diemer.f",0,-78
3410,0.93,5,0,"Diemer.f",0,-78
3410,3.22,5,0,"Diemer.f",0,-78
4050,2.54,5,0,"Diemer.f",0,-78
4050,2.27,5,0,"Diemer.f",0,-78
4050,1.68,5,0,"Diemer.f",0,-78
4050,3.91,5,0,"Diemer.f",0,-78
4050,2.81,5,0,"Diemer.f",0,-78
4050,1.33,5,0,"Diemer.f",0,-78
4050,3.3,5,0,"Diemer.f",0,-78
4050,3.7,5,0,"Diemer.f",0,-78
4050,1.82,5,0,"Diemer.f",0,-78
4050,2.24,5,0,"Diemer.f",0,-78
4400,1.67,5,0,"Diemer.f",0,-78
4400,1.45,5,0,"Diemer.f",0,-79
4450,3.39,5,0,"Diemer.f",0,-79
4450,1.61,5,0,"Diemer.f",0,-79
4450,1.15,5,0,"Diemer.f",0,-79
4450,2.35,5,0,"Diemer.f",0,-79
4450,1.43,5,0,"Diemer.f",0,-79
4500,1.21,5,0,"Diemer.f",0,-78
4510,1.75,5,0,"Diemer.f",0,-79
4510,1.58,5,0,"Diemer.f",0,-79
4510,2.13,5,0,"Diemer.f",0,-79
4510,2.31,5,0,"Diemer.f",0,-79
4510,2.48,5,0,"Diemer.f",0,-79
4510,1.9,5,0,"Diemer.f",0,-79
4510,0.78,5,0,"Diemer.f",0,-79
4510,2.7,5,0,"Diemer.f",0,-79
4570,2.64,5,0,"Diemer.f",0,-78
4570,2.69,5,0,"Diemer.f",0,-78
4570,2.69,5,0,"Diemer.f",0,-78
4570,1.39,5,0,"Diemer.f",0,-78
4570,2.86,5,0,"Diemer.f",0,-78
4570,1.74,5,0,"Diemer.f",0,-78
4600,3.54,5,0,"Diemer.f",-1,-79
4800,1.39,5,0,"Diemer.f",-1,-79
4800,4.93,5,0,"Diemer.f",-1,-79
4900,3.2,5,0,"Diemer.f",-1,-79
4900,1.46,5,0,"Diemer.f",-1,-79
72.131147541,0.8175,12,19.5,"Vit.1",19,-156
