full_name,genus,species,Tribe,growth_form,fruit_type,dispersal_probable,length_min,length_max,width_min,width_max,mean_length,mean_width
Mouriri_gleasoniana,Mouriri,gleasoniana,Memecyleae,woody,Berry,biotic,8000,8300,7200,7800,8150,7500
Henriettea_tuberculosa,Henriettea,tuberculosa,Henrietteeae,woody,Berry,biotic,496,NA,445,NA,496,445
Blakea_scarlatina,Blakea,scarlatina,Blakeae,epiphyte,Berry,biotic,NA,NA,NA,NA,NA,NA
Blakea_calycosa,Blakea,calycosa,Blakeae,epiphyte,Berry,biotic,920,980,300,430,950,365
Blakea_austin-smithii,Blakea,austin-smithii,Blakeae,epiphyte,Berry,biotic,720,770,510,660,745,585
Blakea_penduliflora,Blakea,penduliflora,Blakeae,epiphyte,Berry,biotic,801,978,513,636,889.5,574.5
Blakea_foliacea,Blakea,foliacea,Blakeae,epiphyte,Berry,biotic,NA,NA,NA,NA,NA,NA
Blakea_anomala,Blakea,anomala,Blakeae,epiphyte,Berry,biotic,1260,1280,500,520,1270,510
Blakea_cf_watsonii,Blakea,cf_watsonii,Blakeae,epiphyte,Berry,biotic,NA,NA,NA,NA,NA,NA
Blakea_maurofernandeziana,Blakea,maurofernandeziana,Blakeae,epiphyte,Berry,biotic,1201,1276,648,671,1238.5,659.5
Blakea_henripittieri,Blakea,henripittieri,Blakeae,epiphyte,Berry,biotic,970,1130,440,610,1050,525
Tibouchina_longifolia,Tibouchina,longifolia,Melastomeae,herb,Dry capsule,abiotic,290,300,190,NA,295,190
Monochaetum_vulcanicum,Monochaetum,vulcanicum,Melastomeae,herb,Dry capsule,abiotic,NA,NA,NA,NA,NA,NA
Monochaetum_floribundum,Monochaetum,floribundum,Melastomeae,herb,Dry capsule,abiotic,418,429,274,293,423.5,283.5
Pilocosta_nana,Pilocosta,nana,Melastomeae,herb,Dry capsule,abiotic,500,750,500,670,625,585
Centradenia_inaequilateralis,Centradenia,inaequilateralis,Melastomeae,herb,Dry capsule,abiotic,287,307,143,145,297,144
Arthrostemma_ciliatum,Arthrostemma,ciliatum,Melastomeae,herb,Dry capsule,abiotic,720,750,840,870,735,855
Nepsera_aquatica,Nepsera,aquatica,Melastomeae,herb,Dry capsule,abiotic,549,628,361,429,588.5,395
Aciotis_rubricaulis,Aciotis,rubricaulis,Melastomeae,herb,Fleshy capsule,biotic,600,631,560,502,615.5,531
Aciotis_indecora,Aciotis,indecora,Melastomeae,herb,Fleshy capsule,biotic,469,NA,318,411,469,364.5
Triolena_hirsuta,Triolena,hirsuta,Bertolonieae,herb,Dry capsule,abiotic,430,500,235,250,465,242.5
Meriania_phlomoides,Meriania,phlomoides,Merianieae,woody,Dry capsule,abiotic,474,NA,183,NA,474,183
Adelobotrys_adscendens,Adelobotrys,adscendens,Merianieae,epiphyte,Dry capsule,abiotic,617,NA,465,NA,617,465
Graffenrieda_galeottii,Graffenrieda,galeottii,Merianieae,woody,Dry capsule,abiotic,1993,NA,145,NA,1993,145
Clidemia_costaricensis,Clidemia,costaricensis,Miconieae,woody,Berry,biotic,356.34,318.14,190.81,249.07,337.24,219.94
Tococa_platyphylla,Tococa,platyphylla,Miconieae,woody,Berry,biotic,NA,NA,NA,NA,NA,NA
Clidemia_discolor,Clidemia,discolor,Miconieae,woody,Berry,biotic,295.74,NA,156.74,NA,295.74,156.74
Clidemia_epiphytica,Clidemia,epiphytica,Miconieae,epiphyte,Berry,biotic,526.72,NA,220.66,NA,526.72,220.66
